date,source,url,currency,title,generator_id,predicted_direction,predicted_magnitude,confidence,pair_context,reasoning
2026-03-05,,https://finance.yahoo.com/news/chinas-factory-activity-expands-quickest-015522109.html,CNY,"China's factory activity expands at quickest pace in over 5 years, private PMI shows",keyword-sentiment-v1.1,neutral,,0.3,,CNY mixed signals; markets consolidating
2026-03-05,,https://investinglive.com/news/china-further-outlines-five-year-plan-says-to-implement-more-proactive-macro-policies-20260305/,CNY,"China further outlines five-year plan, says to implement more proactive macro policies",llm-sentiment-v1,bullish,medium,0.8,,"The article outlines several policy measures that suggest a bullish sentiment for the Chinese yuan (CNY). It mentions keeping the exchange rate 'basically stable' and enhancing the flexibility of the yuan, which indicates a desire to maintain a strong currency. Additionally, the focus on implementing more proactive macro policies, keeping liquidity ample, and boosting self-reliance in science and technology point to an overall positive economic outlook, which is generally bullish for the CNY."
2026-03-05,,https://investinglive.com/news/china-floats-some-tax-changes-20260305/,CNY,China floats some tax changes,llm-sentiment-v1,bullish,small,0.7,,"The article mentions that Chinese stocks are up more than 1% after the National People's Congress revealed growth targets and government priorities, which suggests a positive sentiment for the Chinese yuan (CNY). The article also notes that the state planner will improve the local tax system and better leverage new policy-backed financial instruments, which could be interpreted as supportive measures for the Chinese economy and currency."
2026-03-05,,https://investinglive.com/news/china-five-year-plan-calls-for-more-proactive-fiscal-policy-20260305/,CNY,China five-year plan calls for more proactive fiscal policy,llm-sentiment-v1,bullish,medium,0.8,,"The article suggests a more proactive fiscal policy and a focus on expanding domestic demand, which are generally positive signals for the Chinese yuan. The GDP and CPI targets also indicate economic stability, further supporting a bullish sentiment for the CNY."
2026-03-05,,https://www.fxstreet.com/news/china-pragmatic-growth-stance-and-fx-stability-td-securities-202603050912,CNY,China: Pragmatic growth stance and FX stability – TD Securities,llm-sentiment-v1,bullish,medium,0.8,,"The article suggests that Chinese policymakers have set a modest GDP growth target, indicating a pragmatic and stable approach to economic policy. This is generally positive for the Chinese yuan (CNY)."
2026-03-05,,https://finance.yahoo.com/news/chinas-factory-activity-expands-quickest-015522109.html,CNY,"China's factory activity expands at quickest pace in over 5 years, private PMI shows",llm-sentiment-v1,bullish,medium,0.8,,"The article reports that China's factory activity expanded at the quickest pace in over 5 years, which indicates economic strength and is a bullish signal for the Chinese yuan (CNY)."
2026-03-05,,https://investinglive.com/news/us-futures-bounce-back-up-again-dollar-pares-gains-on-the-day-too-20260305/,USD,"US futures bounce back up again, dollar pares gains on the day too",keyword-sentiment-v1.1,bearish,small,0.9,,USD showing weakness with 1 negative indicators
2026-03-05,,https://investinglive.com/news/iran-is-ready-to-abandon-its-nuclear-program-if-the-us-makes-a-satisfactory-offer-20260305/,USD,Iran is ready to abandon its nuclear program if the US makes a satisfactory offer,keyword-sentiment-v1.1,neutral,,0.3,,USD mixed signals; markets consolidating
2026-03-05,,https://investinglive.com/news/investinglive-asia-pacific-market-news-wrap-big-bounce-in-korean-stocks-oil-climbs-again-20260305/,USD,investingLive Asia-pacific market news wrap: Big bounce in Korean stocks. Oil climbs again,keyword-sentiment-v1.1,bullish,small,0.9,,USD showing strength with 1 positive indicators
2026-03-05,,https://investinglive.com/news/a-federal-trade-court-judge-ordered-a-swift-repayment-of-tariffs-why-it-matters-20260305/,USD,A federal trade-court judge ordered a swift repayment of tariffs. Why it matters,keyword-sentiment-v1.1,bearish,small,0.9,,USD showing weakness with 1 negative indicators
2026-03-05,,https://investinglive.com/news/white-house-submits-nomination-of-kevin-warsh-for-fed-chair-to-senate-20260304/,USD,White House submits nomination of Kevin Warsh for Fed Chair to Senate,keyword-sentiment-v1.1,bullish,small,0.9,,USD showing strength with 1 positive indicators
2026-03-05,,https://www.fxstreet.com/news/usd-safe-haven-bid-on-middle-east-tensions-and-strong-data-societe-generale-202603051131,USD,USD: Safe‑haven bid on Middle East tensions and strong data – Societe Generale,keyword-sentiment-v1.1,neutral,,0.3,,USD mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/usd-inr-plummets-at-open-as-rbi-intervenes-to-support-indian-rupee-202603050555,USD,USD/INR stays near day's low amid RBI's intervention,keyword-sentiment-v1.1,bullish,small,0.9,USD/INR,USD/INR: USD showing strength with 1 positive indicators
2026-03-05,,https://www.fxstreet.com/news/iran-is-ready-to-abandon-nuclear-program-on-a-rewarding-us-offer-sky-news-arabia-202603050933,USD,Iran ready to abandon nuclear program on a rewarding US offer – Sky News Arabia,keyword-sentiment-v1.1,neutral,,0.3,,USD mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/silver-price-today-silver-rises-according-to-fxstreet-data-202603050930,USD,"Silver price today: Silver rises, according to FXStreet data",keyword-sentiment-v1.1,bullish,small,0.9,,USD showing strength with 1 positive indicators
2026-03-05,,https://www.fxstreet.com/news/fed-rate-cut-odds-repriced-with-strong-data-deutsche-bank-202603050832,USD,Fed: Rate cut odds repriced with strong data – Deutsche Bank,keyword-sentiment-v1.1,bearish,small,0.9,,USD showing weakness with 2 negative indicators
2026-03-05,,https://www.fxstreet.com/news/gold-rises-as-safe-haven-demand-increases-on-iran-war-202603050339,USD,Gold remains stronger on safe-haven flows due to Middle East war,keyword-sentiment-v1.1,bullish,small,0.9,,USD showing strength with 2 positive indicators
2026-03-05,,https://www.fxstreet.com/news/usd-safe-haven-debate-and-conflict-premium-td-securities-202603050732,USD,USD: Safe-haven debate and conflict premium – TD Securities,keyword-sentiment-v1.1,neutral,,0.3,,USD mixed signals; markets consolidating
2026-03-05,,https://www.ibtimes.com.au/forex-markets-volatile-geopolitical-tensions-middle-east-drive-dollar-strength-1862625,USD,Forex Markets Volatile as Geopolitical Tensions in Middle East Drive Dollar Strength,keyword-sentiment-v1.1,bullish,small,0.9,,USD showing strength with 1 positive indicators
2026-03-05,,https://www.thehindubusinessline.com/markets/forex/rupee-slumps-to-all-time-low-of-9216-against-us-dollar/article70703060.ece,USD,Rupee slumps to all-time low of 92.16 against US dollar,keyword-sentiment-v1.1,neutral,,0.3,,USD mixed signals; markets consolidating
2026-03-05,,https://financialpost.com/pmn/business-pmn/gold-advances-as-dip-buyers-enter-market-despite-dollar-strength,USD,Gold Advances as Dip-Buyers Enter Market Despite Dollar Strength,keyword-sentiment-v1.1,bullish,small,0.9,,USD showing strength with 1 positive indicators
2026-03-05,,https://financialpost.com/commodities/gold-advances-dip-buyers-enter-market,USD,Gold advances as dip-buyers enter market despite dollar strength,keyword-sentiment-v1.1,bullish,small,0.5,,USD showing strength with 1 positive indicators
2026-03-05,,http://www.newsbtc.com/analysis/doge/dogecoin-doge-under-strain-0-10/,USD,"Dogecoin (DOGE) Under Strain, Sellers Eye Another Leg Lower",keyword-sentiment-v1.1,neutral,,0.3,,USD mixed signals; markets consolidating
2026-03-05,,https://www.thehindubusinessline.com/markets/forex/rupee-breaches-the-92usd-mark-amid-intensifying-west-asia-conflict/article70702079.ece,USD,Rupee breaches the 92/USD mark amid intensifying West Asia conflict,keyword-sentiment-v1.1,neutral,,0.3,,USD mixed signals; markets consolidating
2026-03-05,,https://www.thehindubusinessline.com/economy/west-asia-war-oil-shock-drives-up-currency-hedging-cost-for-indian-importers/article70702740.ece,USD,West Asia war oil shock drives up currency hedging cost for Indian importers,keyword-sentiment-v1.1,neutral,,0.3,,USD mixed signals; markets consolidating
2026-03-05,,https://english.khabarhub.com/2026/04/537497/,USD,"Gold price drops by Rs 11,000 per tola",keyword-sentiment-v1.1,bearish,small,0.9,,USD showing weakness with 2 negative indicators
2026-03-05,,https://investinglive.com/news/us-futures-bounce-back-up-again-dollar-pares-gains-on-the-day-too-20260305/,USD,"US futures bounce back up again, dollar pares gains on the day too",llm-sentiment-v1,bearish,small,0.7,,"The article mentions that the US dollar has pared its gains on the day, suggesting a bearish sentiment for the USD. However, the impact is expected to be small as the article does not provide strong evidence or catalysts for a significant USD decline."
2026-03-05,,https://investinglive.com/news/iran-is-ready-to-abandon-its-nuclear-program-if-the-us-makes-a-satisfactory-offer-20260305/,USD,Iran is ready to abandon its nuclear program if the US makes a satisfactory offer,llm-sentiment-v1,bullish,medium,0.7,,"The article suggests potential de-escalation of tensions between the US and Iran, which could be positive for the US dollar. The possibility of Iran abandoning its nuclear program in exchange for a satisfactory offer from the US is a sign of potential diplomatic progress, which is generally bullish for the USD."
2026-03-05,,https://investinglive.com/news/investinglive-asia-pacific-market-news-wrap-big-bounce-in-korean-stocks-oil-climbs-again-20260305/,USD,investingLive Asia-pacific market news wrap: Big bounce in Korean stocks. Oil climbs again,llm-sentiment-v1,neutral,small,0.7,,"The article does not contain any clear directional signals for the US dollar. It covers a mix of news from different regions, including a bounce in Korean stocks, oil price movements, and some policy announcements from China. There are no strong indications of either bullish or bearish sentiment for the USD."
2026-03-05,,https://investinglive.com/news/a-federal-trade-court-judge-ordered-a-swift-repayment-of-tariffs-why-it-matters-20260305/,USD,A federal trade-court judge ordered a swift repayment of tariffs. Why it matters,llm-sentiment-v1,bullish,medium,0.8,,"The article discusses a federal trade court judge ordering the Trump administration to start refunding tariffs, which could provide a significant stimulus of $130 billion to the US economy. This is generally positive for the US dollar as it signals economic strength and potential central bank hawkishness."
2026-03-05,,https://investinglive.com/news/white-house-submits-nomination-of-kevin-warsh-for-fed-chair-to-senate-20260304/,USD,White House submits nomination of Kevin Warsh for Fed Chair to Senate,llm-sentiment-v1,bullish,medium,0.8,,"The article announces the nomination of Kevin Warsh, a former Federal Reserve governor, to be the next Federal Reserve Chair. This is generally seen as a hawkish move that would be positive for the US dollar, as Warsh is likely to pursue more restrictive monetary policy compared to the previous chair."
2026-03-05,,https://www.fxstreet.com/news/usd-safe-haven-bid-on-middle-east-tensions-and-strong-data-societe-generale-202603051131,USD,USD: Safe‑haven bid on Middle East tensions and strong data – Societe Generale,llm-sentiment-v1,bullish,medium,0.8,,"The article suggests that the US dollar is likely to see a safe-haven bid due to increased Middle East tensions, and that strong macro data has also been supportive of the dollar. This points to a bullish outlook for the USD."
2026-03-05,,https://www.fxstreet.com/news/usd-inr-plummets-at-open-as-rbi-intervenes-to-support-indian-rupee-202603050555,USD,USD/INR stays near day's low amid RBI's intervention,llm-sentiment-v1,bullish,small,0.7,USD/INR,"USD/INR: The article mentions that the Indian Rupee (INR) snapped a five-day losing streak against the US Dollar (USD), suggesting a strengthening of the USD against the INR, which is a bullish signal for the USD."
2026-03-05,,https://www.fxstreet.com/news/iran-is-ready-to-abandon-nuclear-program-on-a-rewarding-us-offer-sky-news-arabia-202603050933,USD,Iran ready to abandon nuclear program on a rewarding US offer – Sky News Arabia,llm-sentiment-v1,bearish,medium,0.8,,"The article suggests that Iran is willing to abandon its nuclear program in exchange for a rewarding offer from the US. This could potentially lead to a reduction in geopolitical tensions and sanctions, which would be negative for the US dollar as a safe-haven currency."
2026-03-05,,https://www.fxstreet.com/news/silver-price-today-silver-rises-according-to-fxstreet-data-202603050930,USD,"Silver price today: Silver rises, according to FXStreet data",llm-sentiment-v1,bearish,small,0.8,,"The article discusses a rise in silver prices, which is typically seen as negative for the US dollar as it indicates a shift away from the dollar as a safe-haven asset."
2026-03-05,,https://www.fxstreet.com/news/fed-rate-cut-odds-repriced-with-strong-data-deutsche-bank-202603050832,USD,Fed: Rate cut odds repriced with strong data – Deutsche Bank,llm-sentiment-v1,bullish,medium,0.8,,"The article suggests that the markets are pricing out early Federal Reserve easing, which implies a more hawkish stance from the Fed. This is generally positive for the US dollar."
2026-03-05,,https://www.fxstreet.com/news/gold-rises-as-safe-haven-demand-increases-on-iran-war-202603050339,USD,Gold remains stronger on safe-haven flows due to Middle East war,llm-sentiment-v1,bearish,medium,0.8,,"The article mentions that gold prices are rising due to safe-haven flows amid the ongoing war in the Middle East. This suggests increased risk aversion and a flight to safety, which is typically negative for the US dollar."
2026-03-05,,https://www.fxstreet.com/news/usd-safe-haven-debate-and-conflict-premium-td-securities-202603050732,USD,USD: Safe-haven debate and conflict premium – TD Securities,llm-sentiment-v1,bullish,medium,0.8,,"The article suggests that the US dollar can behave as a safe-haven currency again due to the nature of the current shock, even if it is no longer an effortless one. This implies a potential increase in demand for the USD, which would be bullish for the currency."
2026-03-05,,https://www.ibtimes.com.au/forex-markets-volatile-geopolitical-tensions-middle-east-drive-dollar-strength-1862625,USD,Forex Markets Volatile as Geopolitical Tensions in Middle East Drive Dollar Strength,llm-sentiment-v1,bullish,medium,0.8,,"The article indicates that the U.S. dollar is strengthening as a safe-haven currency amid escalating geopolitical tensions in the Middle East, which is bullish for the USD."
2026-03-05,,https://www.thehindubusinessline.com/markets/forex/rupee-slumps-to-all-time-low-of-9216-against-us-dollar/article70703060.ece,USD,Rupee slumps to all-time low of 92.16 against US dollar,llm-sentiment-v1,bullish,medium,0.8,,"The article mentions that the US dollar index crossed 98 levels, indicating strength in the US dollar. Additionally, the rupee slumping to an all-time low against the US dollar suggests a bullish sentiment for the USD."
2026-03-05,,https://financialpost.com/pmn/business-pmn/gold-advances-as-dip-buyers-enter-market-despite-dollar-strength,USD,Gold Advances as Dip-Buyers Enter Market Despite Dollar Strength,llm-sentiment-v1,bearish,small,0.7,,"The article mentions that gold prices are advancing, which suggests a weakening of the US dollar. While the article also notes 'dollar strength', the overall tone is focused on gold's recovery, implying a slightly bearish sentiment for the US dollar."
2026-03-05,,https://financialpost.com/commodities/gold-advances-dip-buyers-enter-market,USD,Gold advances as dip-buyers enter market despite dollar strength,llm-sentiment-v1,bearish,medium,0.8,,"The article discusses gold advancing despite dollar strength, which suggests a bearish sentiment for the USD. The mention of gold performing well in both high inflation and deflation environments implies economic uncertainty, which is typically negative for the USD."
2026-03-05,,http://www.newsbtc.com/analysis/doge/dogecoin-doge-under-strain-0-10/,USD,"Dogecoin (DOGE) Under Strain, Sellers Eye Another Leg Lower",llm-sentiment-v1,neutral,null,0.7,,The article is focused on the price movement of Dogecoin (DOGE) and does not contain any information or signals that would indicate a directional sentiment for the US Dollar (USD). The article is neutral with respect to the USD.
2026-03-05,,https://www.thehindubusinessline.com/markets/forex/rupee-breaches-the-92usd-mark-amid-intensifying-west-asia-conflict/article70702079.ece,USD,Rupee breaches the 92/USD mark amid intensifying West Asia conflict,llm-sentiment-v1,bearish,medium,0.8,,"The article indicates that the Indian rupee has weakened against the US dollar, which suggests a bearish sentiment for the USD. The rupee breaching the 92/USD mark and opening 56 paise weaker points to a decline in the value of the USD relative to the rupee, which is a bearish signal for the USD."
2026-03-05,,https://www.thehindubusinessline.com/economy/west-asia-war-oil-shock-drives-up-currency-hedging-cost-for-indian-importers/article70702740.ece,USD,West Asia war oil shock drives up currency hedging cost for Indian importers,llm-sentiment-v1,bearish,medium,0.8,,"The article mentions that the one-month implied volatility for the USD/INR currency pair has climbed to the highest level since May 2025, and the implied interest rate on the one-year forward premium has also risen. This suggests increased hedging costs and potential weakness in the USD against the INR, which is bearish for the USD."
2026-03-05,,https://english.khabarhub.com/2026/04/537497/,USD,"Gold price drops by Rs 11,000 per tola",llm-sentiment-v1,bearish,small,0.7,,"The article discusses a sharp decline in the price of gold in the domestic market, which suggests a strengthening of the US dollar relative to other currencies. This is typically a bearish signal for the US dollar, as it indicates a decrease in demand for the currency."
2026-03-05,,https://www.fxstreet.com/news/sweden-oil-risks-temper-rate-cut-hopes-nomura-202603051108,SEK,Sweden: Oil risks temper rate-cut hopes – Nomura,keyword-sentiment-v1.1,bearish,small,0.75,,SEK showing weakness with 1 negative indicators
2026-03-05,,https://www.fxstreet.com/news/pln-nbp-cuts-but-zloty-downside-limited-ing-202603050944,SEK,PLN: NBP cuts but zloty downside limited – ING,keyword-sentiment-v1.1,neutral,,0.3,,SEK mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/sweden-oil-risks-temper-rate-cut-hopes-nomura-202603051108,SEK,Sweden: Oil risks temper rate-cut hopes – Nomura,llm-sentiment-v1,bearish,medium,0.8,,"The article suggests that Sweden's inflation measures have surprised to the downside, which could temper expectations for rate hikes by the central bank, making the Swedish krona less attractive. This is a bearish signal for the SEK."
2026-03-05,,https://www.fxstreet.com/news/pln-nbp-cuts-but-zloty-downside-limited-ing-202603050944,SEK,PLN: NBP cuts but zloty downside limited – ING,llm-sentiment-v1,neutral,null,0.6,,"The article discusses the Polish zloty and the interest rate decision by the National Bank of Poland, but does not mention anything related to the Swedish krona (SEK). Therefore, there is no clear sentiment or impact on the SEK based on the information provided in the article."
2026-03-05,,https://investinglive.com/news/eurozone-january-retail-sales-01-vs-03-mm-expected-20260305/,EUR,Eurozone January retail sales -0.1% vs +0.3% m/m expected,keyword-sentiment-v1.1,neutral,,0.3,,EUR mixed signals; markets consolidating
2026-03-05,,https://investinglive.com/news/what-are-the-main-events-for-today-20260305/,EUR,What are the main events for today?,keyword-sentiment-v1.1,bearish,small,0.9,,EUR showing weakness with 1 negative indicators
2026-03-05,,https://investinglive.com/news/investinglive-americas-fx-news-wrap-4-mar-markets-ignoring-geopolitical-risks-data-beat-20260304/,EUR,investingLive Americas FX news wrap 4 Mar: Markets ignoring geopolitical risks. Data beat.,keyword-sentiment-v1.1,bearish,small,0.9,,EUR showing weakness with 2 negative indicators
2026-03-05,,https://investinglive.com/news/european-indices-rebound-after-two-days-of-sharp-declines-20260304/,EUR,European indices rebound after two days of sharp declines,keyword-sentiment-v1.1,neutral,,0.3,,EUR mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/eur-jpy-declines-as-safe-haven-demand-supports-yen-euro-faces-mixed-signals-202603051105,EUR,"EUR/JPY declines as safe-haven demand supports Yen, Euro faces mixed signals",keyword-sentiment-v1.1,bearish,medium,0.9,EUR/JPY,EUR/JPY: EUR showing weakness with 4 negative indicators
2026-03-05,,https://www.fxstreet.com/news/eur-usd-recovers-early-losses-as-iran-expresses-willingness-for-truce-202603051049,EUR,EUR/USD recovers early losses as Iran expresses willingness for truce,keyword-sentiment-v1.1,bullish,small,0.9,EUR/USD,EUR/USD: EUR showing strength with 1 positive indicators
2026-03-05,,https://www.fxstreet.com/news/ecbs-rehn-should-avoid-being-overly-optimistic-about-duration-of-iran-conflict-202603051021,EUR,ECB's Rehn: Should avoid being overly optimistic about duration of Iran conflict,keyword-sentiment-v1.1,bullish,small,0.75,,EUR showing strength with 1 positive indicators
2026-03-05,,https://www.fxstreet.com/news/eurozone-retail-sales-unexpectedly-drops-01-mom-in-january-202603051007,EUR,Eurozone Retail Sales unexpectedly drops 0.1% MoM in January,keyword-sentiment-v1.1,bearish,small,0.9,,EUR showing weakness with 2 negative indicators
2026-03-05,,https://www.fxstreet.com/news/euro-area-labour-market-strength-and-gradual-cooling-danske-bank-202603050930,EUR,Euro area: Labour market strength and gradual cooling – Danske Bank,keyword-sentiment-v1.1,bullish,small,0.9,,EUR showing strength with 1 positive indicators
2026-03-05,,https://www.fxstreet.com/news/eur-cad-falls-to-near-15850-due-to-higher-oil-prices-202603050930,EUR,EUR/CAD falls to near 1.5850 due to higher Oil prices,keyword-sentiment-v1.1,neutral,,0.3,EUR/CAD,EUR/CAD: EUR mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/eur-gbp-steadies-near-08700-ahead-of-eurozone-retail-sales-data-202603050906,EUR,EUR/GBP steadies near 0.8700 ahead of Eurozone Retail Sales data,keyword-sentiment-v1.1,neutral,,0.3,EUR/GBP,EUR/GBP: EUR mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/eurozone-gas-shock-challenges-ecb-path-bny-202603050853,EUR,Eurozone: Gas shock challenges ECB path – BNY,keyword-sentiment-v1.1,neutral,,0.3,,EUR mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/japanese-yen-turns-upside-down-against-us-dollar-as-dovish-fed-bets-recede-202603050845,EUR,Japanese Yen turns upside down against US Dollar as dovish Fed bets recede,keyword-sentiment-v1.1,neutral,,0.3,,EUR mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/gbp-sterling-outperforms-on-positioning-ing-202603050808,EUR,GBP: Sterling outperforms on positioning – ING,keyword-sentiment-v1.1,bearish,small,0.9,,EUR showing weakness with 2 negative indicators
2026-03-05,,https://www.fxstreet.com/news/usd-cad-price-forecast-hand-holds-20-day-ema-amid-us-iran-war-202603050805,EUR,USD/CAD Price Forecast: Hand holds 20-day EMA amid US-Iran war,keyword-sentiment-v1.1,neutral,,0.3,USD/CAD,EUR mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/eur-usd-oil-driven-terms-of-trade-support-dollar-commerzbank-202603050753,EUR,EUR/USD: Oil-driven terms of trade support Dollar – Commerzbank,keyword-sentiment-v1.1,bullish,medium,0.9,EUR/USD,EUR/USD: EUR showing strength with 3 positive indicators
2026-03-05,,https://www.fxstreet.com/news/aud-usd-price-forecast-trades-around-07050-after-breaking-below-nine-day-ema-202603050741,EUR,AUD/USD Price Forecast: Trades around 0.7050 after breaking below nine-day EMA,keyword-sentiment-v1.1,bullish,small,0.9,AUD/USD,EUR showing strength with 1 positive indicators
2026-03-05,,https://www.fxstreet.com/news/ecbs-villeroy-the-duration-of-iran-war-will-determine-impact-on-prices-202603050714,EUR,ECB’s Villeroy: The duration of Iran war will determine impact on prices,keyword-sentiment-v1.1,neutral,,0.3,,EUR mixed signals; markets consolidating
2026-03-05,,https://www.fxstreet.com/news/new-zealand-dollar-weakens-below-05950-amid-persistent-geopolitical-risks-202603050706,EUR,New Zealand Dollar weakens below 0.5950 amid persistent geopolitical risks,keyword-sentiment-v1.1,bearish,large,0.9,,EUR showing weakness with 5 negative indicators
2026-03-05,,https://www.fxstreet.com/news/european-gas-upside-risks-build-on-russian-supply-threat-ing-202603050650,EUR,European gas: Upside risks build on Russian supply threat – ING,keyword-sentiment-v1.1,bearish,small,0.9,,EUR showing weakness with 1 negative indicators
2026-03-05,,https://finance.yahoo.com/news/eurodry-edry-reports-profitable-q4-152016059.html,EUR,EuroDry (EDRY) Reports Profitable Q4 with Surging Adjusted EBITDA,keyword-sentiment-v1.1,neutral,,0.3,,EUR mixed signals; markets consolidating
2026-03-05,,https://investinglive.com/news/eurozone-january-retail-sales-01-vs-03-mm-expected-20260305/,EUR,Eurozone January retail sales -0.1% vs +0.3% m/m expected,llm-sentiment-v1,bearish,small,0.7,,"The article reports that Eurozone January retail sales came in at -0.1% month-over-month, missing the expected +0.3% growth. This suggests weaker consumer spending, which is a bearish signal for the EUR."
2026-03-05,,https://investinglive.com/news/what-are-the-main-events-for-today-20260305/,EUR,What are the main events for today?,llm-sentiment-v1,neutral,small,0.7,,"The article does not contain any clear bullish or bearish signals for the EUR. It mentions low-tier economic data releases for the Eurozone, which are unlikely to significantly impact the EUR. The focus remains on the US-Iran situation and energy prices, which are external factors not directly related to the EUR."
2026-03-05,,https://investinglive.com/news/investinglive-americas-fx-news-wrap-4-mar-markets-ignoring-geopolitical-risks-data-beat-20260304/,EUR,investingLive Americas FX news wrap 4 Mar: Markets ignoring geopolitical risks. Data beat.,llm-sentiment-v1,bullish,medium,0.7,,"The article mentions that European indices have rebounded after two days of sharp declines, which suggests a positive sentiment for the EUR. Additionally, the article notes that overall economic activity in the US increased at a slight/moderate pace, which could be interpreted as a positive indicator for the broader economy and the EUR."
2026-03-05,,https://investinglive.com/news/european-indices-rebound-after-two-days-of-sharp-declines-20260304/,EUR,European indices rebound after two days of sharp declines,llm-sentiment-v1,bullish,medium,0.7,,"The article discusses a rebound in European indices after a sharp decline, indicating a potential recovery in the EUR. The positive momentum and gains in the closing levels suggest a bullish sentiment for the EUR."
2026-03-05,,https://www.fxstreet.com/news/eur-jpy-declines-as-safe-haven-demand-supports-yen-euro-faces-mixed-signals-202603051105,EUR,"EUR/JPY declines as safe-haven demand supports Yen, Euro faces mixed signals",llm-sentiment-v1,bearish,medium,0.8,EUR/JPY,"EUR/JPY: The article indicates that the EUR/JPY pair is declining, suggesting weakness in the Euro. The article cites the Japanese Yen benefiting from safe-haven demand, which is typically negative for the Euro."
2026-03-05,,https://www.fxstreet.com/news/eur-usd-recovers-early-losses-as-iran-expresses-willingness-for-truce-202603051049,EUR,EUR/USD recovers early losses as Iran expresses willingness for truce,llm-sentiment-v1,bullish,small,0.7,EUR/USD,"EUR/USD: The article mentions that the EUR/USD pair clawed back a majority of its early losses, indicating a bullish sentiment for the EUR. However, the pair is still marginally down, suggesting a small positive impact."
2026-03-05,,https://www.fxstreet.com/news/ecbs-rehn-should-avoid-being-overly-optimistic-about-duration-of-iran-conflict-202603051021,EUR,ECB's Rehn: Should avoid being overly optimistic about duration of Iran conflict,llm-sentiment-v1,bearish,medium,0.8,,"The article mentions that the war between the US, Iran, and Israel is expected to raise inflation in the near term, which is generally negative for the EUR. The ECB official's cautious tone about being overly optimistic also suggests a bearish sentiment for the EUR."
